Date,Close/Last,Volume,Open,High,Low,
08-26-2024,175.5,22366240,176.7,177.4682,174.3,
08-23-2024,177.04,29150090,177.34,178.9699,175.24,
08-22-2024,176.13,32047480,181.38,181.47,175.68,
08-21-2024,180.11,35599120,179.92,182.385,178.8937,
08-20-2024,178.88,26255200,177.92,179.01,177.4308,
08-19-2024,178.22,31129810,177.64,178.3,176.16,
08-16-2024,177.06,31489180,177.04,178.34,176.2601,
08-15-2024,177.59,51698510,174.86,177.91,173.99,
08-14-2024,170.1,28843800,172.11,172.28,168.86,
08-13-2024,170.23,39237920,167.81,171.04,167.1,
08-12-2024,166.8,30072790,168.14,168.55,166.1101,
08-09-2024,166.94,36401050,166.4,168.55,165.85,
08-08-2024,165.8,44616210,165.165,166.6899,162.55,
08-07-2024,162.77,48408240,166.55,167.58,161.43,
08-06-2024,161.93,59950830,161.71,165.08,158.5404,
08-05-2024,161.02,83149440,154.21,162.96,151.61,
08-02-2024,167.9,141448400,166.75,168.77,160.55,
08-01-2024,184.07,70435640,189.285,190.6,181.87,
07-31-2024,186.98,41667330,185.05,187.94,184.46,
07-30-2024,181.71,39508570,184.72,185.86,179.38,
07-29-2024,183.2,33270120,183.84,184.75,182.38,
07-26-2024,182.5,29505960,180.39,183.19,180.24,
07-25-2024,179.85,44464160,182.91,183.8958,176.8,
07-24-2024,180.83,41532360,183.2,185.45,180.41,
07-23-2024,186.41,47537670,184.1,189.39,183.56,
07-22-2024,182.55,39931920,185,185.06,182.48,
07-19-2024,183.13,43081830,181.14,184.93,180.11,
07-18-2024,183.75,51043630,189.59,189.68,181.448,
07-17-2024,187.93,48076140,191.35,191.58,185.99,
07-16-2024,193.02,33994710,195.59,196.62,192.24,
07-15-2024,192.72,40683230,194.56,196.19,190.83,
07-12-2024,194.49,30598530,194.8,196.47,193.8301,
07-11-2024,195.05,44565040,200.09,200.2699,192.86,
07-10-2024,199.79,32883750,199.995,200.11,197.69,
07-09-2024,199.34,32756740,199.4,200.57,199.045,
07-08-2024,199.29,34767260,200.04,201.2,197.96,
07-05-2024,200,39858890,198.65,200.55,198.17,
07-03-2024,197.59,31597930,199.94,200.029,196.7601,
07-02-2024,200,45600010,197.28,200.43,195.93,
07-01-2024,197.2,41192010,193.49,198.2957,192.82,
06-28-2024,193.25,76930190,197.73,198.85,192.5,
06-27-2024,197.85,74397490,195.005,199.84,194.2,
06-26-2024,193.61,65103890,186.92,194.8,186.26,
06-25-2024,186.34,45898480,186.81,188.84,185.42,
06-24-2024,185.57,50610380,189.33,191,185.33,
06-21-2024,189.08,72931750,187.8,189.275,185.86,
06-20-2024,186.1,44726780,182.91,186.51,182.72,
06-18-2024,182.81,36659160,183.735,184.29,181.43,
06-17-2024,184.06,35601910,182.52,185,181.22,
06-14-2024,183.66,25456410,183.08,183.72,182.23,
